,pdb,emmap,source,q,clashscore,bond_outlier,angle_outlier,pucker_outlier,suite_outlier,avg_suitness,cc_volume,cc_mask,cc_peaks,tempy_mi,tempy_smoc
31,SARS_CoV_2-SL56_5bext_SL5only_Sun_icSHAPE_all_models_all_fits_FINAL_R3.out.8,SARS_CoV_2_SL56_5bext-7p40-flipped-cryosparc_P3_J1278_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_SARS-CoV-2_SL56-5bext_icSHAPE_scores.csv,0.2120303155624037,9.83,0.0,0.0002978850163836,0.0328947368421052,0.0915032679738562,0.762,0.4562,0.4465,0.3662,0.0194789395939526,0.9147421820397004
32,SARS_CoV_2-SL56_5bext_SL5only_Sun_icSHAPE_all_models_all_fits_FINAL_R3.out.3,SARS_CoV_2_SL56_5bext-7p40-flipped-cryosparc_P3_J1278_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_SARS-CoV-2_SL56-5bext_icSHAPE_scores.csv,0.2111669929121725,10.44,0.0,0.000893655049151,0.0526315789473684,0.1437908496732026,0.778,0.4643,0.4562,0.3745,0.0195507009691383,0.9176174154284048
33,SARS_CoV_2-SL56_5bext_SL5only_Sun_icSHAPE_all_models_all_fits_FINAL_R3.out.6,SARS_CoV_2_SL56_5bext-7p40-flipped-cryosparc_P3_J1278_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_SARS-CoV-2_SL56-5bext_icSHAPE_scores.csv,0.2092375016949152,7.57,0.0,0.0041703902293714,0.0263157894736842,0.1111111111111111,0.772,0.4485,0.4425,0.3592,0.0194625112244841,0.9136674338503455
34,SARS_CoV_2-SL56_5bext_SL5only_Sun_icSHAPE_all_models_all_fits_FINAL_R3.out.2,SARS_CoV_2_SL56_5bext-7p40-flipped-cryosparc_P3_J1278_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_SARS-CoV-2_SL56-5bext_icSHAPE_scores.csv,0.2099366844375963,7.16,0.0,0.0011915400655347,0.0328947368421052,0.1372549019607843,0.751,0.4553,0.447,0.3622,0.0194779824008348,0.9145130253764784
35,SARS_CoV_2-SL56_5bext_SL5only_Sun_icSHAPE_all_models_all_fits_FINAL_R3.out.4,SARS_CoV_2_SL56_5bext-7p40-flipped-cryosparc_P3_J1278_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_SARS-CoV-2_SL56-5bext_icSHAPE_scores.csv,0.2093493762711864,8.8,0.0,0.0014894250819183,0.0394736842105263,0.1699346405228758,0.766,0.4563,0.4498,0.3687,0.0195765574508585,0.9171466334249596
36,SARS_CoV_2-SL56_5bext_SL5only_Sun_icSHAPE_all_models_all_fits_FINAL_R3.out.7,SARS_CoV_2_SL56_5bext-7p40-flipped-cryosparc_P3_J1278_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_SARS-CoV-2_SL56-5bext_icSHAPE_scores.csv,0.2077768351309707,6.96,0.0,0.0005957700327673,0.0197368421052631,0.0980392156862745,0.776,0.4446,0.4359,0.3557,0.0193701123193539,0.9127813947153638
37,SARS_CoV_2-SL56_5bext_SL5only_Sun_icSHAPE_all_models_all_fits_FINAL_R3.out.1,SARS_CoV_2_SL56_5bext-7p40-flipped-cryosparc_P3_J1278_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_SARS-CoV-2_SL56-5bext_icSHAPE_scores.csv,0.2106710123266564,6.35,0.0004679457182966,0.0002978850163836,0.0328947368421052,0.1111111111111111,0.793,0.4528,0.4464,0.3639,0.0194484520641861,0.9148083935391604
38,SARS_CoV_2-SL56_5bext_SL5only_Sun_icSHAPE_all_models_all_fits_FINAL_R3.out.5,SARS_CoV_2_SL56_5bext-7p40-flipped-cryosparc_P3_J1278_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_SARS-CoV-2_SL56-5bext_icSHAPE_scores.csv,0.2087445423728813,6.35,0.0,0.0005957700327673,0.0328947368421052,0.130718954248366,0.777,0.4513,0.4439,0.3559,0.01953413281286,0.912177533527704
39,SARS_CoV_2-SL56_5bext_SL5only_Sun_icSHAPE_all_models_all_fits_FINAL_R3.out.9,SARS_CoV_2_SL56_5bext-7p40-flipped-cryosparc_P3_J1278_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_SARS-CoV-2_SL56-5bext_icSHAPE_scores.csv,0.2111487617873652,6.96,0.0,0.0005957700327673,0.0197368421052631,0.1437908496732026,0.741,0.4655,0.4611,0.3801,0.0194939354254066,0.9172514938992374
40,MERS_Sun_icSHAPE_all_models_all_fits_FINAL_R3.out.10.pdbFINISHED_1,MERS_con3-6p44-cryosparc_P1_J323_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_MERS_conf3_icSHAPE_eternafold_scores.csv,0.2219529031021261,0.46,0.0,0.0,0.0074626865671641,0.0888888888888888,0.819,0.4582,0.4657,0.4563,0.0315933936048552,0.909709438536634
41,MERS_Sun_icSHAPE_all_models_all_fits_FINAL_R3.out.3.pdbFINISHED_1,MERS_con3-6p44-cryosparc_P1_J323_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_MERS_conf3_icSHAPE_eternafold_scores.csv,0.2149208570930637,0.69,0.0,0.0,0.0149253731343283,0.0962962962962963,0.812,0.4972,0.5109,0.4787,0.031730319005971,0.9064342421981167
42,MERS_Sun_icSHAPE_all_models_all_fits_FINAL_R3.out.8.pdbFINISHED_1,MERS_con3-6p44-cryosparc_P1_J323_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_MERS_conf3_icSHAPE_eternafold_scores.csv,0.2219894461484838,0.69,0.0,0.0,0.0074626865671641,0.037037037037037,0.824,0.4726,0.4806,0.4694,0.0318634028045073,0.9101675442320264
43,MERS_Sun_icSHAPE_all_models_all_fits_FINAL_R3.out.9.pdbFINISHED_1,MERS_con3-6p44-cryosparc_P1_J323_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_MERS_conf3_icSHAPE_eternafold_scores.csv,0.2180557744858835,0.46,0.0,0.0,0.0074626865671641,0.0666666666666666,0.802,0.5131,0.5276,0.4988,0.0314827600242066,0.9099576172636578
44,MERS_Sun_icSHAPE_all_models_all_fits_FINAL_R3.out.6.pdbFINISHED_1,MERS_con3-6p44-cryosparc_P1_J323_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_MERS_conf3_icSHAPE_eternafold_scores.csv,0.2162487232485186,0.93,0.0,0.000337723741979,0.0149253731343283,0.0888888888888888,0.822,0.4687,0.4734,0.4533,0.0315090447304828,0.9078385136402232
45,MERS_Sun_icSHAPE_all_models_all_fits_FINAL_R3.out.7.pdbFINISHED_1,MERS_con3-6p44-cryosparc_P1_J323_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_MERS_conf3_icSHAPE_eternafold_scores.csv,0.2213706043917741,0.23,0.0,0.0,0.0074626865671641,0.0888888888888888,0.805,0.5117,0.5217,0.4816,0.0317913702127237,0.9069813155542288
46,MERS_Sun_icSHAPE_all_models_all_fits_FINAL_R3.out.1.pdbFINISHED_1,MERS_con3-6p44-cryosparc_P1_J323_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_MERS_conf3_icSHAPE_eternafold_scores.csv,0.2206841101429069,0.46,0.0,0.0,0.0074626865671641,0.0814814814814814,0.813,0.4549,0.4265,0.4277,0.0315520311716095,0.9095403887928382
47,MERS_Sun_icSHAPE_all_models_all_fits_FINAL_R3.out.4.pdbFINISHED_1,MERS_con3-6p44-cryosparc_P1_J323_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_MERS_conf3_icSHAPE_eternafold_scores.csv,0.2166613252004182,0.23,0.0,0.0,0.0074626865671641,0.0666666666666666,0.813,0.4557,0.4598,0.4473,0.0316601763723744,0.90815908959644
48,MERS_Sun_icSHAPE_all_models_all_fits_FINAL_R3.out.2.pdbFINISHED_1,MERS_con3-6p44-cryosparc_P1_J323_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_MERS_conf3_icSHAPE_eternafold_scores.csv,0.2201652307424189,0.46,0.0,0.0,0.0074626865671641,0.0814814814814814,0.809,0.4566,0.4707,0.4497,0.0315901753209849,0.9082398363731808
49,MERS_Sun_icSHAPE_all_models_all_fits_FINAL_R3.out.5.pdbFINISHED_1,MERS_con3-6p44-cryosparc_P1_J323_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_erraser_MERS_conf3_icSHAPE_eternafold_scores.csv,0.2192143408853259,0.23,0.0,0.0,0.0149253731343283,0.0592592592592592,0.809,0.4558,0.4487,0.4434,0.0317044880079045,0.907744457314858
50,BtCoV_HKU5_Sun_icSHAPE_G317A_all_models_all_fits_FINAL_R3.out.10,BtCoV_HKU5_con2-6p42-cryosparc_P2_J365_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_BtCoV-HKU5_conf2_icSHAPE_scores.csv,0.2364531857391304,5.78,0.0,0.0054035798716649,0.0298507462686567,0.1259259259259259,0.767,0.5196,0.5188,0.4904,0.1141652426994541,0.8887420269230405
51,BtCoV_HKU5_Sun_icSHAPE_G317A_all_models_all_fits_FINAL_R3.out.9,BtCoV_HKU5_con2-6p42-cryosparc_P2_J365_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_BtCoV-HKU5_conf2_icSHAPE_scores.csv,0.2337548107826086,9.02,0.0,0.000337723741979,0.0298507462686567,0.1555555555555555,0.716,0.4941,0.4908,0.4581,0.1123297233435192,0.8835576570439962
52,BtCoV_HKU5_Sun_icSHAPE_G317A_all_models_all_fits_FINAL_R3.out.3,BtCoV_HKU5_con2-6p42-cryosparc_P2_J365_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_BtCoV-HKU5_conf2_icSHAPE_scores.csv,0.2403909276521739,6.25,0.0,0.0040526849037487,0.0149253731343283,0.1259259259259259,0.724,0.5018,0.5024,0.4823,0.1144809637750284,0.8916692662865027
53,BtCoV_HKU5_Sun_icSHAPE_G317A_all_models_all_fits_FINAL_R3.out.1,BtCoV_HKU5_con2-6p42-cryosparc_P2_J365_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_BtCoV-HKU5_conf2_icSHAPE_scores.csv,0.234983323826087,5.32,0.0,0.0037149611617696,0.0223880597014925,0.1555555555555555,0.743,0.5024,0.5002,0.4757,0.1137843100436963,0.8871535978343673
54,BtCoV_HKU5_Sun_icSHAPE_G317A_all_models_all_fits_FINAL_R3.out.8,BtCoV_HKU5_con2-6p42-cryosparc_P2_J365_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_BtCoV-HKU5_conf2_icSHAPE_scores.csv,0.2331997213913043,11.33,0.0005305039787798,0.0043904086457277,0.0373134328358208,0.2,0.749,0.4964,0.4947,0.4708,0.1135023247921902,0.8842700865908018
55,BtCoV_HKU5_Sun_icSHAPE_G317A_all_models_all_fits_FINAL_R3.out.5,BtCoV_HKU5_con2-6p42-cryosparc_P2_J365_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_BtCoV-HKU5_conf2_icSHAPE_scores.csv,0.2438446274782608,6.48,0.0,0.0006754474839581,0.0373134328358208,0.2222222222222222,0.734,0.5066,0.5068,0.4753,0.1140923986829746,0.8856189124065194
56,BtCoV_HKU5_Sun_icSHAPE_G317A_all_models_all_fits_FINAL_R3.out.4,BtCoV_HKU5_con2-6p42-cryosparc_P2_J365_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_BtCoV-HKU5_conf2_icSHAPE_scores.csv,0.2372173085217391,5.55,0.0005305039787798,0.0050658561296859,0.0223880597014925,0.1703703703703703,0.742,0.5118,0.5074,0.4804,0.115151534265566,0.8907887261427472
57,BtCoV_HKU5_Sun_icSHAPE_G317A_all_models_all_fits_FINAL_R3.out.6,BtCoV_HKU5_con2-6p42-cryosparc_P2_J365_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_BtCoV-HKU5_conf2_icSHAPE_scores.csv,0.2257590963478261,5.32,0.0,0.0013508949679162,0.0074626865671641,0.1481481481481481,0.697,0.4932,0.4867,0.4496,0.1113844349766975,0.8779423609231637
58,BtCoV_HKU5_Sun_icSHAPE_G317A_all_models_all_fits_FINAL_R3.out.7,BtCoV_HKU5_con2-6p42-cryosparc_P2_J365_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_BtCoV-HKU5_conf2_icSHAPE_scores.csv,0.2275943836521739,6.01,0.0,0.0013508949679162,0.0149253731343283,0.1185185185185185,0.748,0.4877,0.4835,0.449,0.1114385111566966,0.8789977039016671
59,BtCoV_HKU5_Sun_icSHAPE_G317A_all_models_all_fits_FINAL_R3.out.2,BtCoV_HKU5_con2-6p42-cryosparc_P2_J365_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_BtCoV-HKU5_conf2_icSHAPE_scores.csv,0.2387360086956521,5.78,0.0,0.000337723741979,0.0223880597014925,0.1555555555555555,0.733,0.5013,0.4947,0.4713,0.1141772911013309,0.8848605450966999
60,BtCoV_HKU5_shape_all_models_all_fits_FINAL_R7.out.10,BtCoV_HKU5_con3-8p00-cryosparc_P2_J368_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_BtCoV-HKU5_conf3_librarySHAPE_scores.csv,0.1452775088695652,8.79,0.0,0.0050658561296859,0.0373134328358208,0.1481481481481481,0.722,0.2606,0.2478,0.1604,0.1188861725519808,0.8575031204408989
61,BtCoV_HKU5_shape_all_models_all_fits_FINAL_R7.out.8,BtCoV_HKU5_con3-8p00-cryosparc_P2_J368_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_BtCoV-HKU5_conf3_librarySHAPE_scores.csv,0.1391423937391304,5.55,0.0,0.0047281323877068,0.0298507462686567,0.1555555555555555,0.717,0.2705,0.2433,0.1688,0.1150688440164768,0.8540396696355445
62,BtCoV_HKU5_shape_all_models_all_fits_FINAL_R7.out.3,BtCoV_HKU5_con3-8p00-cryosparc_P2_J368_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_BtCoV-HKU5_conf3_librarySHAPE_scores.csv,0.1405876796521739,3.47,0.0,0.0010131712259371,0.0074626865671641,0.1481481481481481,0.717,0.257,0.2433,0.1497,0.1168172718237758,0.8458513252038173
63,BtCoV_HKU5_shape_all_models_all_fits_FINAL_R7.out.1,BtCoV_HKU5_con3-8p00-cryosparc_P2_J368_map_sharp.mrc,../analysis/map_to_model/auto-drrafter_only_BtCoV-HKU5_conf3_librarySHAPE_scores.csv,0.1374347516521739,5.55,0.0,0.0033772374197906,0.0074626865671641,0.1407407407407407,0.748,0.2615,0.2395,0.1521,0.1170283206983929,0.8478027430881836
